h	tt1	tt2	tt3	t	ln	pln
0	0	0	0	0	0	0
2	15	16	15	15.3333333333333	-0.034486176071169	0.034486176071169
4	32	31	32	31.6666666666667	-0.070204258673249	0.070204258673249
6	49	49	49	49	-0.107245530353598	0.107245530353598
8	67	67	67	67	-0.145711811181394	0.145711811181394
10	86	87	86	86.3333333333333	-0.185717145795093	0.185717145795093
12	105	105	105	105	-0.227389842195661	0.227389842195661
14	125	125	124	124.666666666667	-0.2708749541354	0.2708749541354
16	145	144	144	144.333333333333	-0.316337328212157	0.316337328212157
18	167	167	166	166.666666666667	-0.363965377201412	0.363965377201412
20	190	190	189	189.666666666667	-0.413975797776073	0.413975797776073
22	213	213	213	213	-0.466619531261495	0.466619531261495
24	238	238	238	238	-0.522189382416306	0.522189382416306
26	264	264	264	264	-0.581029882439239	0.581029882439239
28	297	297	297	297	-0.643550239420573	0.643550239420573
30	322	322	322	322	-0.710241613919245	0.710241613919245
32	356	356	356	356	-0.78170057790139	0.78170057790139
